Date,Close,Volume,RSI_14,ATR_14,FGI
,BTC-USD,BTC-USD,,,
2025-04-05,83504.796875,14380803631,49.012898403655456,5609.090959821428,24
2025-04-06,78214.484375,36294853736,30.068301658641076,5677.819754464285,53
2025-04-07,79235.3359375,91262424987,28.528579490323295,5879.606026785715,71
2025-04-08,76271.953125,48314590749,24.751880970496245,6199.1015625,53
2025-04-09,82573.953125,84213627038,42.24857811686943,6518.597098214285,65
2025-04-10,79626.140625,44718000633,37.65462643520334,6802.739397321428,59
2025-04-11,83404.8359375,41656778779,48.496502855534764,7086.881696428572,77
2025-04-12,85287.109375,24258059104,54.24702703542933,7379.448102678572,79
2025-04-13,83684.9765625,28796984817,52.04597544422303,7654.502790178572,69
2025-04-14,84542.390625,34090769777,52.9624541029464,7929.557477678572,33
2025-04-15,83668.9921875,28040322885,47.64853537220083,8204.61216517857,34
2025-04-16,84033.8671875,29617804112,52.61687485737949,8479.66685267857,71
2025-04-17,84895.75,21276866029,53.00573501375995,8754.72154017857,54
2025-04-18,84450.8046875,12728372364,51.027803720391255,9029.77622767857,21
2025-04-19,85063.4140625,15259300427,52.614902597325994,9304.83091517857,27
2025-04-20,85174.3046875,14664050812,64.1326685206543,9285.597098214286,47
2025-04-21,87518.90625,41396190190,65.96253468244205,9427.720982142857,40
2025-04-22,93441.890625,55899038456,79.69907844090082,9635.62109375,35
2025-04-23,93699.109375,41719568821,74.33139163353611,9861.893973214286,64
2025-04-24,93943.796875,31483175315,85.51250977598747,9979.16127232143,61
2025-04-25,94720.5,40915232364,82.97755011618604,10133.0390625,43
2025-04-26,94646.9296875,17612825123,80.49215767818612,10278.492745535714,73
2025-04-27,93754.84375,18090367764,84.3966339443876,10423.94642857143,66
2025-04-28,94978.75,32363449569,84.7777572976187,10587.84654017857,65
2025-04-29,94284.7890625,25806129921,85.80388808962948,10725.684151785714,50
2025-04-30,94207.3125,28344679831,84.99029719964983,10833.740513392857,24
2025-05-01,96492.3359375,32875889623,86.32864488623153,11049.91015625,79
2025-05-02,96910.0703125,26421924677,89.09781993663097,11252.16015625,69
2025-05-03,95891.796875,15775154889,83.13637661153473,11446.48939732143,39
2025-05-04,94315.9765625,18198688416,75.67301675619746,11473.347098214286,37
2025-05-05,94748.0546875,25816260327,72.74529709480535,10917.720424107143,30
2025-05-06,96802.4765625,26551275827,63.9757001414611,10160.23549107143,77
2025-05-07,97032.3203125,76983822462,63.893489467154254,9389.12890625,65
2025-05-08,98932.9375,50364583936,68.27321142226653,9006.20982142857,70
